City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
256,Rangoon,16.8053,96.1561,78.76,94,75,2.3,MM,broken clouds
257,Erzin,36.9559,36.2,83.12,69,0,1.66,TR,clear sky
258,Baringo,0.4667,35.9667,74.84,46,99,11.36,KE,overcast clouds
259,Masuguru,-11.3667,38.4167,78.73,42,100,7.87,TZ,overcast clouds
260,Bosaso,11.2842,49.1816,87.51,52,20,2.35,SO,few clouds
261,Binzhou,37.3667,118.0167,72.16,87,0,5.75,CN,light rain
262,Oranjemund,-28.55,16.4333,58.93,65,1,8.08,NA,clear sky
263,Jagdalpur,19.0667,82.0333,72.88,89,100,6.04,IN,overcast clouds
264,Narsingi,18.0333,78.4333,76.68,73,99,16.67,IN,overcast clouds
265,Churapcha,62.0025,132.4325,56.32,44,9,7.63,RU,clear sky
266,Strezhevoy,60.7333,77.5889,58.98,75,99,6.29,RU,overcast clouds
267,Port Moresby,-9.4431,147.1797,71.44,78,19,10.11,PG,few clouds
268,Vintila Voda,45.4667,26.7167,76.64,47,0,3.38,RO,clear sky
269,Ust-Kulom,61.6864,53.6902,54.25,94,0,5.1,RU,clear sky
270,Xichang,27.8964,102.2634,63.46,78,0,2.13,CN,clear sky
271,Sambava,-14.2667,50.1667,68.95,90,85,12.19,MG,light rain
272,Noumea,-22.2763,166.4572,68.0,99,81,7.45,NC,broken clouds
273,Ingham,42.6,-84.3833,75.31,61,75,11.5,US,broken clouds
274,Bahce,37.1972,36.5766,86.76,65,0,5.88,TR,clear sky
275,Otjimbingwe,-22.35,16.1333,66.4,20,0,6.13,NA,clear sky
276,Asyut,27.181,31.1837,95.63,15,5,7.58,EG,clear sky
277,Ust-Koksa,50.2696,85.6108,50.59,79,0,0.34,RU,clear sky
278,Tahe,52.3333,124.7333,46.44,97,6,2.91,CN,clear sky
279,Dubbo,-32.25,148.6167,37.53,100,0,11.5,AU,clear sky
280,Pietermaritzburg,-29.6168,30.3928,59.76,33,5,4.18,ZA,clear sky
281,Ayagoz,47.9714,80.4392,67.19,34,0,6.82,KZ,clear sky
282,Ambilobe,-13.2,49.05,69.82,80,0,3.8,MG,light rain
283,Sinjai,-5.1241,120.253,73.17,93,15,2.93,ID,few clouds
284,Queenstown,-31.8976,26.8753,54.43,23,87,7.49,ZA,overcast clouds
285,Broome,42.2506,-75.833,76.17,77,90,12.66,US,overcast clouds
286,Margate,51.3813,1.3862,61.18,91,100,3.0,GB,overcast clouds
287,Mocuba,-16.8392,36.9856,61.72,80,0,2.89,MZ,clear sky
288,Hohhot,40.8106,111.6522,61.9,57,11,5.7,CN,few clouds
289,Simpang,-1.2667,104.0833,74.39,95,93,2.08,ID,overcast clouds
290,Kedrovyy,56.1667,91.8167,55.81,94,19,2.39,RU,few clouds
291,Xuddur,4.1213,43.8894,75.09,68,98,19.95,SO,overcast clouds
292,Malabo,3.75,8.7833,77.56,84,100,10.83,GQ,overcast clouds
293,Srednekolymsk,67.45,153.6833,37.58,78,100,9.13,RU,overcast clouds
294,Tobol,52.6844,62.5794,72.34,65,40,7.4,KZ,scattered clouds
295,Bairiki,1.3292,172.9752,77.0,83,20,0.0,KI,few clouds
296,Bitlis,38.5,42.25,66.16,70,21,7.99,TR,few clouds
297,Hirtshals,57.5881,9.9592,57.02,80,37,12.06,DK,scattered clouds
298,Robat Karim,35.4846,51.0829,87.28,22,75,11.5,IR,broken clouds
299,Luanda,-8.8368,13.2343,73.4,88,40,6.91,AO,scattered clouds
300,Saint-Joseph,-21.3667,55.6167,68.36,73,34,11.45,RE,scattered clouds
301,Vidim,56.4088,103.1106,60.42,85,99,3.42,RU,overcast clouds
302,Taksimo,56.3444,114.8794,53.96,96,100,0.54,RU,light rain
303,Parbatipur,25.6649,88.9247,79.45,91,100,3.98,BD,overcast clouds
304,Biloela,-24.4167,150.5,56.89,93,0,2.95,AU,clear sky
305,Kovernino,57.1253,43.8142,69.84,60,97,5.77,RU,overcast clouds
306,Nurota,40.5614,65.6886,80.69,15,0,7.92,UZ,clear sky
307,La Maddalena,41.2142,9.4083,77.05,65,100,24.67,IT,overcast clouds
308,Svetlogorsk,52.6333,29.7333,73.53,66,100,3.27,BY,overcast clouds
309,Yining,29.0361,114.5636,77.56,89,0,1.07,CN,clear sky
310,Uddevalla,58.3478,11.9424,61.16,77,1,1.99,SE,clear sky
311,Hovd,48.0056,91.6419,55.17,65,5,3.76,MN,clear sky
312,Vyara,21.1167,73.4,77.25,89,100,13.35,IN,overcast clouds
313,Dauriya,49.9333,116.8667,54.55,73,25,6.31,RU,scattered clouds
314,Bam,29.106,58.357,92.62,13,9,9.8,IR,clear sky
315,Bredasdorp,-34.5322,20.0403,54.28,82,80,7.85,ZA,broken clouds
