City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
460,Mogadishu,SO,75.92,light rain,2.0371,45.3438,Hotel Juba
463,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
464,Tambura,SS,69.08,moderate rain,5.6,27.4667,Rikito Lodge
465,Karacabey,TR,82.45,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
466,Thanh Hoa,VN,77.95,moderate rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
467,Lafia,NG,72.36,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
470,Chaoyang,CN,66.04,clear sky,41.5703,120.4586,Chaoyang Genting International Hotel
471,Chiredzi,ZW,63.23,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
473,Helong,CN,69.15,light rain,42.5397,128.9972,Helong Hotel
475,Mumford,GH,75.99,clear sky,5.2618,-0.759,Spanish Villa
477,Magole,TZ,72.0,scattered clouds,-6.3667,37.3667,Juma lubelwa
478,Ushtobe,KZ,71.44,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
481,Tuensang,IN,70.21,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
482,Smidovich,RU,62.02,overcast clouds,48.6,133.8167,Gostinnitsa
484,Fatehpur,IN,77.56,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
485,Marsa Matruh,EG,81.3,clear sky,31.3525,27.2453,Beau Site
486,Tual,ID,81.48,few clouds,-5.6667,132.75,Grand Vilia Hotel
489,Rayevskiy,RU,68.88,broken clouds,54.0658,54.9468,Gostinitsa
491,Angoche,MZ,70.86,clear sky,-16.2325,39.9086,Guest House HESADA
492,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
493,Omboue,GA,74.89,overcast clouds,-1.5746,9.2618,Hotel Olako
494,Karonga,MW,68.63,scattered clouds,-9.9333,33.9333,Sumuka Inn
495,Sipoo,FI,65.08,few clouds,60.3775,25.2691,CMG-Keltas
497,Darhan,MN,65.34,overcast clouds,49.4867,105.9228,Buudai Hotel
500,Wuda,CN,74.59,clear sky,39.4994,106.7117,Grape Sightseeing Garden
502,Tabora,TZ,67.91,few clouds,-5.0167,32.8,Barcelona Lodge
503,Vikindu,TZ,71.04,clear sky,-7.0067,39.2985,RUTA GUEST HOUSE
504,Shetpe,KZ,85.59,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
505,Warri,NG,78.46,overcast clouds,5.5167,5.75,BON Hotel Delta
506,Pamekasan,ID,77.85,few clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
507,Kavaratti,IN,82.31,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
509,Sarkand,KZ,66.81,clear sky,45.41,79.9186,Гостиница Сарканд
510,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
511,Hulan Ergi,CN,60.89,overcast clouds,47.2042,123.6333,Qiqihaer Zhongtian Hotel
512,Jiuquan,CN,71.67,overcast clouds,39.7432,98.5174,Jiuquan Hotel
